,Unnamed: 0,상품명,가격,상품번호,상품상태,브랜드,원산지,세부제품특징,사용부위,사용시간,제품형태,용량,용기형태,피부타입,주요제품특징,모델명,제조사,혜택조건,세트수량,반품안심케어 가입 안내,이벤트,제조일자,유효일자,기타,사은품,PA지수,자외선차단지수,성분,종류,세트구성,매수,구분,url
0,0,[스킨푸드][당근2종키트증정] 캐롯 카로틴 카밍 워터 패드 30매 135g_당근패드,"13,000",7263586848,신상품,스킨푸드,대한민국,"피부진정, 피부결정돈, 상쾌함",페이스용,"낮, 밤",스크럽형,250ml(g),캡형,모든피부용,"촉촉함(수분공급), 저자극",,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009464/products/7263586848
1,0,[스킨푸드][당근2종키트증정] 캐롯 카로틴 카밍 워터 패드 60매_당근패드,"26,000",5036447034,신상품,스킨푸드,대한민국,"피부진정, 피부결정돈, 상쾌함",페이스용,"낮, 밤",스크럽형,250ml(g),캡형,모든피부용,"촉촉함(수분공급), 저자극",,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009464/products/5036447034
2,0,[스킨푸드][미나리2종키트증정] 판토테닉 워터 파슬리 패드 30매 135g_미나리패드,"13,000",7263590874,신상품,스킨푸드(33493),대한민국,"각질케어, 흡수력",페이스용,,,,,,촉촉함(수분공급),72311,,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009464/products/7263590874
3,0,[1+1]바버 멀티 비타민 앰플 (2mlx7병)- 바버공식수입사,"60,000",6400365010,신상품,BABOR,독일산((주)이넬화장품),"저자극, 피부강화, 각질케어, 피부탄력, 영양공급",페이스용,"낮, 밤",액상형,14ml(g),원터치형,모든피부용,"촉촉함(수분공급), 흡수력",바버 멀티 비타민 앰플,Dr.BABOR GmbH&Co.KG,네이버단독,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000019604/products/6400365010
4,0,데저트에센스 100% 냉압착 비정제 퓨어 호호바오일 118ml,"27,700",2363490746,신상품,데저트에센스,미국산(컨트리 라이프 엘엘씨.),"저자극, 피부보호",페이스용,,오일형,,,,"촉촉함(수분공급), 흡수력",퓨어 호호바 오일 118ml,컨트리라이프엘엘씨,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000019382/products/2363490746
5,0,58%+2종 증정 / 달바 프리미엄 비건 3종 세트 / 비건 미스트 세럼 120ml+더블 세럼 30ml+더블 크림 70g,"192,000",6771814380,신상품,달바,국산,"각질케어, 상쾌함, 흡수력, 피부탄력, 피부결정돈",,,,,,모든피부용,"촉촉함(수분공급), 저자극",,,,3종세트,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100002853/products/6771814380
6,0,치노시오야 내추럴 포어 클렌징오일,"32,900",2303064285,신상품,치노시오야,일본산(주식회사 비엔비코),"블랙헤드케어, 모공케어, 각질케어, 노폐물 제거, 화이트헤드케어",페이스용,,,150ml,,모든피부용,"저자극, 세정력",,치노시오,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100032918/products/2303064285
7,0,1+1+추가10% / 달바 대용량 프리미엄 비건 미스트 세럼 120ml / 화이트 트러플 시그니처 향 아로마틱 / 프리미엄 고기능성 케어,"84,000",5945562605,신상품,달바(자체제작 상품),국산,피부탄력,페이스용,낮,,,,,촉촉함(수분공급),,비앤비코리아,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/100002853/products/5945562605
8,0,벤튼 구아바 70 스킨 토너 패드 팩 (70매) 진정 수부지 비건 피부결,"36,000",7243224860,신상품,,국산,"피부결정돈, 피부진정, 흡수력, 모공케어",페이스용,"낮, 밤",시트형,,원터치형,"모든피부용, 건성, 민감성","촉촉함(수분공급), 저자극",,,,,반품안심케어에 가입된 상품입니다. 반품/교환 시 무료교환/무료반품 제공,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009763/products/7243224860
9,0,얼라이브랩 센텔라 드레싱 파우더 / 시카 파우더 8ml,"10,000",1001438041,신상품,얼라이브랩,국산,"저자극, 부드러운 발림, 피부진정, 피지조절","페이스용, 스팟","밤, 낮",,,,,트러블케어,,별도 표기,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000012777/products/1001438041
10,0,[스킨푸드][미나리2종키트증정] 판토테닉 워터 파슬리 패드 60매_미나리 패드,"26,000",6341865999,신상품,스킨푸드(33493),대한민국,"각질케어, 흡수력",페이스용,,,,,,촉촉함(수분공급),72311,아이피어리스,,,,,,,,,,,,,,,,https://shopping.naver.com/beauty/stores/1000009464/products/6341865999
